À, ADV
ilha, NOUN
e, CCONJ
capital, NOUN
das, ADP
Antilhas, PROPN
Holandesas, PROPN
):, PUNCT
Punda, NOUN
e, CCONJ
Otrobanda, PROPN
., PUNCT

, SPACE
Outro, DET
importante, ADJ
ponto, NOUN
histórico, ADJ
da, ADP
ilha, NOUN
é, AUX
o, DET
Forte, PROPN
Nassao, PROPN
,, PUNCT
construído, VERB
em, ADP
1796, NUM
e, CCONJ
onde, PRON
hoje, ADV
está, AUX
instalado, ADJ
um, DET
restaurante, NOUN
., PUNCT
O, DET
forte, NOUN
fica, VERB
a, ADP
uma, DET
altura, NOUN
de, ADP
60, NUM
metros, NOUN
acima, ADV
do, ADP
nível, NOUN
do, ADP
mar, NOUN
., PUNCT

, SPACE
Do, ADP
forte, NOUN
,, PUNCT
que, PRON
fica, VERB
no, ADP
topo, NOUN
do, ADP
monte, NOUN
Ararat, PROPN
,, PUNCT
se, PRON
tem, VERB
uma, DET
visão, NOUN
ampla, ADJ
do, ADP
porto, NOUN
de, ADP
Curaçao, PROPN
,, PUNCT
o, DET
primeiro, ADJ
do, ADP
Caribe, PROPN
,, PUNCT
e, CCONJ
das, ADP
refinarias, NOUN
de, ADP
petróleo, NOUN
que, PRON
ainda, ADV
existem, VERB
na, ADP
cidade, NOUN
., PUNCT

, SPACE
Em, ADP
Curaçao, PROPN
vale, VERB
uma, DET
visita, NOUN
à, ADP
primeira, ADJ
sinagoga, NOUN
do, ADP
Ocidente, NOUN
,, PUNCT
construída, VERB
no, ADP
ano, NOUN
de, ADP
1732, NUM
., PUNCT

, SPACE
No, ADP
local, NOUN
ainda, ADV
há, VERB
uma, DET
réplica, NOUN
do, ADP
cemitério, NOUN
Bet, PROPN
Chayim, PROPN
,, PUNCT
localizado, VERB
em, ADP
Israel, PROPN
., PUNCT

, SPACE
Ainda, ADV
em, ADP
Punda, PROPN
é, AUX
possível, ADJ
conhecer, VERB
o, DET
Mercado, PROPN
Flutuante, PROPN
,, PUNCT
um, DET
porto, NOUN
em, ADP
que, PRON
os, DET
barcos, NOUN
ficam, VERB
ancorados, NOUN
e, CCONJ
comercializam, VERB
frutas, NOUN
,, PUNCT
legumes, NOUN
e, CCONJ
peixes, NOUN
exportados, VERB
principalmente, ADV
da, ADP
Venezuela, PROPN
., PUNCT

, SPACE
A, DET
viagem, NOUN
de, ADP
barco, NOUN
entre, ADP
Curaçao, PROPN
e, CCONJ
o, DET
continente, NOUN
dura, VERB
cerca, ADV
de, ADP
seis, NUM
horas, NOUN
., PUNCT

, SPACE
O, DET
mercado, NOUN
está, AUX
sendo, AUX
reformado, VERB
e, CCONJ
funciona, VERB
diariamente, ADV
das, ADP
6h, NOUN
às, ADP
19h, NOUN
., PUNCT
As, DET
obras, NOUN
de, ADP
restauração, NOUN
terminam, VERB
no, ADP
próximo, ADJ
mês, NOUN
de, ADP
dezembro, NOUN
., PUNCT

, SPACE
O, DET
forte, ADJ
Amsterdã, PROPN
é, AUX
atualmente, ADV
ocupado, VERB
pelo, ADP
palácio, NOUN
do, ADP
governo, NOUN
de, ADP
Curaçao, PROPN
,, PUNCT
mas, CCONJ
é, AUX
permitido, VERB
ao, ADP
turista, NOUN
visitá-lo, VERB
., PUNCT

, SPACE
Ao, ADP
lado, NOUN
fica, VERB
a, DET
praça, NOUN
`, ADJ
`, NOUN
Os, DET
Arcos, NOUN
das, ADP
Águas, PROPN
'', NUM
,, PUNCT
que, PRON
fazia, VERB
parte, NOUN
do, ADP
forte, ADJ
e, CCONJ
onde, PRON
funciona, VERB
hoje, ADV
um, DET
centro, NOUN
comercial, ADJ
., PUNCT

, SPACE
(, PUNCT
Lélio, PROPN
Pagioro, PROPN
), PUNCT

, SPACE
